post_id,platform,content_type,post_date,impressions,reach,likes,comments,shares,saves
POST_0032,Instagram,Carousel,2025-01-08 18:00:00,19540,30905,150,33,364,245
POST_0033,YouTube,Video,2025-01-09 00:00:00,25244,42901,1272,12,330,590
POST_0034,LinkedIn,Text,2025-01-09 06:00:00,22545,27186,127,302,128,470
POST_0035,LinkedIn,Text,2025-01-09 12:00:00,22689,37776,191,218,343,422
POST_0036,Instagram,Text,2025-01-09 18:00:00,12174,39851,1478,290,309,64
POST_0037,YouTube,Text,2025-01-10 00:00:00,23925,2848,121,103,88,12
POST_0038,Instagram,Text,2025-01-10 06:00:00,38497,39801,2933,426,212,212
POST_0039,Instagram,Static Image,2025-01-10 12:00:00,10348,13741,2591,393,142,241
POST_0040,Twitter,Static Image,2025-01-10 18:00:00,24714,43333,2342,268,64,492
POST_0041,Twitter,Video,2025-01-11 00:00:00,39102,2628,1656,215,75,212
POST_0042,Twitter,Text,2025-01-11 06:00:00,9924,2717,2884,180,198,337
POST_0043,LinkedIn,Video,2025-01-11 12:00:00,38098,21418,1060,89,142,172
POST_0044,YouTube,Text,2025-01-11 18:00:00,25394,33054,349,42,315,163
POST_0045,YouTube,Text,2025-01-12 00:00:00,7801,40556,1540,402,92,464
POST_0046,YouTube,Static Image,2025-01-12 06:00:00,38614,20928,31,77,304,496
POST_0047,YouTube,Static Image,2025-01-12 12:00:00,7731,809,1361,378,223,394
POST_0048,Twitter,Carousel,2025-01-12 18:00:00,49136,17444,235,47,290,307
POST_0049,LinkedIn,Static Image,2025-01-13 00:00:00,24625,23222,358,161,101,182
POST_0050,LinkedIn,Carousel,2025-01-13 06:00:00,18337,10665,1819,464,266,509
POST_0051,Twitter,Carousel,2025-01-13 12:00:00,36307,3019,2728,81,354,545
POST_0052,LinkedIn,Carousel,2025-01-13 18:00:00,8056,40609,1770,311,109,563
POST_0053,Twitter,Carousel,2025-01-14 00:00:00,12516,6087,1528,87,329,593
POST_0054,YouTube,Carousel,2025-01-14 06:00:00,45261,35187,2441,93,264,226
POST_0055,Twitter,Video,2025-01-14 12:00:00,2542,9312,729,149,2,435
POST_0056,YouTube,Static Image,2025-01-14 18:00:00,22677,2142,1243,162,84,421
POST_0057,YouTube,Carousel,2025-01-15 00:00:00,47732,44136,2533,203,281,553
POST_0058,Instagram,Text,2025-01-15 06:00:00,40081,20016,1132,425,327,20
POST_0059,Twitter,Static Image,2025-01-15 12:00:00,28569,28334,1311,417,303,553
POST_0060,Instagram,Static Image,2025-01-15 18:00:00,24322,15031,508,243,116,396
POST_0061,Twitter,Carousel,2025-01-16 00:00:00,20065,33093,1581,354,220,104
POST_0062,Twitter,Video,2025-01-16 06:00:00,18924,27414,66,3,153,191
POST_0063,Instagram,Carousel,2025-01-16 12:00:00,23556,37058,797,226,152,16
POST_0064,Instagram,Video,2025-01-16 18:00:00,27962,29053,1059,290,11,119
POST_0065,Twitter,Text,2025-01-17 00:00:00,29295,42878,730,234,132,392
POST_0066,LinkedIn,Static Image,2025-01-17 06:00:00,14807,41552,420,462,303,424
POST_0067,YouTube,Text,2025-01-17 12:00:00,43348,18788,1837,415,292,128
POST_0068,Instagram,Video,2025-01-17 18:00:00,27432,31837,269,418,299,129
POST_0069,YouTube,Video,2025-01-18 00:00:00,18749,13019,410,78,227,571
POST_0070,LinkedIn,Text,2025-01-18 06:00:00,42459,1035,354,117,270,559
POST_0071,LinkedIn,Video,2025-01-18 12:00:00,27256,43729,648,155,42,28
POST_0072,LinkedIn,Text,2025-01-18 18:00:00,41262,2708,156,407,342,96
POST_0073,Instagram,Static Image,2025-01-19 00:00:00,38080,9367,2950,104,325,9
POST_0074,LinkedIn,Text,2025-01-19 06:00:00,2324,37098,2755,195,301,241
POST_0075,Instagram,Static Image,2025-01-19 12:00:00,26731,6056,1541,167,363,231
POST_0076,LinkedIn,Text,2025-01-19 18:00:00,36909,19819,846,360,378,283
POST_0077,YouTube,Video,2025-01-20 00:00:00,24803,8962,746,91,20,199
POST_0078,YouTube,Text,2025-01-20 06:00:00,20870,6215,1520,175,106,78
POST_0079,Twitter,Video,2025-01-20 12:00:00,35578,36959,2661,123,335,172
POST_0080,YouTube,Text,2025-01-20 18:00:00,7588,44725,1009,499,302,466
POST_0081,Twitter,Text,2025-01-21 00:00:00,39069,6751,2439,144,116,580
POST_0082,YouTube,Carousel,2025-01-21 06:00:00,27790,22652,954,483,123,415
POST_0083,Instagram,Video,2025-01-21 12:00:00,26289,8807,421,107,398,448
POST_0084,YouTube,Carousel,2025-01-21 18:00:00,29178,42632,1486,376,280,86
POST_0085,Twitter,Video,2025-01-22 00:00:00,29710,31323,634,429,291,100
POST_0086,Twitter,Carousel,2025-01-22 06:00:00,16485,24125,1316,306,202,7
POST_0087,LinkedIn,Static Image,2025-01-22 12:00:00,45482,22004,1202,361,50,199
POST_0088,Instagram,Text,2025-01-22 18:00:00,21652,16324,2687,460,270,504
POST_0089,YouTube,Video,2025-01-23 00:00:00,5748,20082,2255,318,323,86
POST_0090,LinkedIn,Video,2025-01-23 06:00:00,22233,24730,1141,452,276,42
POST_0091,YouTube,Text,2025-01-23 12:00:00,10435,877,150,124,140,384
POST_0092,YouTube,Video,2025-01-23 18:00:00,4709,41145,2872,391,274,434
POST_0093,LinkedIn,Video,2025-01-24 00:00:00,31355,21411,1214,10,289,407
POST_0094,LinkedIn,Carousel,2025-01-24 06:00:00,14116,17784,202,263,333,482
POST_0095,LinkedIn,Video,2025-01-24 12:00:00,26470,14860,383,74,380,16
POST_0096,LinkedIn,Static Image,2025-01-24 18:00:00,43344,18249,58,360,372,147
POST_0097,LinkedIn,Static Image,2025-01-25 00:00:00,43918,19320,2564,224,51,276
POST_0098,YouTube,Text,2025-01-25 06:00:00,40298,44103,1392,417,26,231
POST_0099,LinkedIn,Video,2025-01-25 12:00:00,43956,10310,940,42,156,365
POST_0100,Instagram,Text,2025-01-25 18:00:00,15683,30087,2789,371,238,227
POST_0101,Twitter,Static Image,2025-01-26 00:00:00,1504,28973,35,205,155,435
POST_0102,LinkedIn,Video,2025-01-26 06:00:00,34982,40511,512,265,290,398
POST_0103,LinkedIn,Video,2025-01-26 12:00:00,35299,12754,1469,329,135,210
POST_0104,YouTube,Text,2025-01-26 18:00:00,29016,8604,1151,179,143,390
POST_0105,LinkedIn,Static Image,2025-01-27 00:00:00,24960,7365,2961,349,105,498
POST_0106,LinkedIn,Video,2025-01-27 06:00:00,34591,6784,330,319,157,539
POST_0107,LinkedIn,Text,2025-01-27 12:00:00,18312,22326,758,85,145,562
POST_0108,YouTube,Static Image,2025-01-27 18:00:00,38797,38238,565,319,1,490
POST_0109,LinkedIn,Text,2025-01-28 00:00:00,47196,19374,2481,112,76,441
POST_0110,Twitter,Carousel,2025-01-28 06:00:00,3105,9984,270,252,131,260
POST_0111,YouTube,Video,2025-01-28 12:00:00,37395,19896,778,384,89,349
POST_0112,Twitter,Carousel,2025-01-28 18:00:00,46740,2992,1824,8,344,351
POST_0113,YouTube,Static Image,2025-01-29 00:00:00,23700,34816,1317,460,349,519
POST_0114,LinkedIn,Carousel,2025-01-29 06:00:00,35620,12046,1651,85,262,319
POST_0115,Twitter,Carousel,2025-01-29 12:00:00,38678,19181,1934,209,350,137
POST_0116,YouTube,Static Image,2025-01-29 18:00:00,21559,37255,833,389,107,549
POST_0117,Instagram,Text,2025-01-30 00:00:00,28509,27527,48,391,73,367
POST_0118,LinkedIn,Carousel,2025-01-30 06:00:00,28860,4818,977,315,38,219
POST_0119,YouTube,Text,2025-01-30 12:00:00,12003,12102,2052,23,396,336
POST_0120,Instagram,Carousel,2025-01-30 18:00:00,22732,2770,496,411,158,222
POST_0121,YouTube,Text,2025-01-31 00:00:00,26826,41957,337,384,70,359
POST_0122,Instagram,Static Image,2025-01-31 06:00:00,31354,28002,264,4,311,328
POST_0123,LinkedIn,Carousel,2025-01-31 12:00:00,14843,31910,767,128,240,462
POST_0124,Twitter,Static Image,2025-01-31 18:00:00,45472,18386,716,298,297,560
POST_0125,Instagram,Carousel,2025-02-01 00:00:00,49529,25319,291,189,35,381
POST_0126,YouTube,Static Image,2025-02-01 06:00:00,7190,32073,1791,363,83,589
POST_0127,LinkedIn,Static Image,2025-02-01 12:00:00,18640,22751,1282,15,373,168
POST_0128,Instagram,Carousel,2025-02-01 18:00:00,39413,16174,2444,460,262,216
POST_0129,YouTube,Carousel,2025-02-02 00:00:00,43356,6588,285,467,309,377
POST_0130,YouTube,Carousel,2025-02-02 06:00:00,45597,6208,2993,13,384,118
POST_0131,YouTube,Video,2025-02-02 12:00:00,41821,25853,940,88,171,189
POST_0132,Instagram,Text,2025-02-02 18:00:00,4330,10246,359,13,375,369
POST_0133,Instagram,Video,2025-02-03 00:00:00,20087,1722,408,398,172,148
POST_0134,Instagram,Video,2025-02-03 06:00:00,42430,33987,2644,26,361,487
POST_0135,Twitter,Static Image,2025-02-03 12:00:00,25504,11589,2070,302,46,373
POST_0136,Instagram,Carousel,2025-02-03 18:00:00,8114,32984,1185,244,378,159
POST_0137,Instagram,Text,2025-02-04 00:00:00,14323,1920,395,123,140,350
POST_0138,Instagram,Static Image,2025-02-04 06:00:00,35121,44828,2053,148,374,287
POST_0139,Twitter,Video,2025-02-04 12:00:00,11975,32954,2391,56,117,287
POST_0140,Instagram,Carousel,2025-02-04 18:00:00,12023,18134,165,239,276,225
POST_0141,YouTube,Static Image,2025-02-05 00:00:00,22447,3136,2001,357,213,522
POST_0142,Instagram,Carousel,2025-02-05 06:00:00,25933,38941,312,174,219,521
POST_0143,YouTube,Static Image,2025-02-05 12:00:00,24959,3043,451,393,392,272
POST_0144,YouTube,Carousel,2025-02-05 18:00:00,1667,19829,724,222,25,401
POST_0145,YouTube,Video,2025-02-06 00:00:00,30703,33065,2018,120,8,182
POST_0146,Twitter,Text,2025-02-06 06:00:00,10337,38180,2652,310,270,487
POST_0147,Twitter,Video,2025-02-06 12:00:00,47427,44672,418,184,9,123
POST_0148,Twitter,Text,2025-02-06 18:00:00,37487,24510,2884,289,377,413
POST_0149,Instagram,Carousel,2025-02-07 00:00:00,20129,30286,983,308,120,171
POST_0150,YouTube,Static Image,2025-02-07 06:00:00,41251,7171,2254,301,124,287
POST_0151,Twitter,Video,2025-02-07 12:00:00,32921,7159,2061,83,169,434
POST_0152,Twitter,Text,2025-02-07 18:00:00,34307,41431,1848,455,71,112
POST_0153,Instagram,Video,2025-02-08 00:00:00,28355,36796,2128,403,151,121
POST_0154,Twitter,Text,2025-02-08 06:00:00,38732,20903,958,212,207,543
POST_0155,Instagram,Video,2025-02-08 12:00:00,5835,15182,729,151,48,221
POST_0156,LinkedIn,Text,2025-02-08 18:00:00,21159,19555,826,38,153,38
POST_0157,Twitter,Text,2025-02-09 00:00:00,39810,36459,1483,353,346,496
POST_0158,LinkedIn,Carousel,2025-02-09 06:00:00,48605,4556,1345,313,292,232
POST_0159,Instagram,Text,2025-02-09 12:00:00,41080,21409,30,362,67,529
POST_0160,YouTube,Carousel,2025-02-09 18:00:00,39088,17278,1105,60,49,148
POST_0161,Twitter,Text,2025-02-10 00:00:00,14216,36242,1888,132,151,396
POST_0162,Instagram,Static Image,2025-02-10 06:00:00,36547,40466,2293,413,18,301
POST_0163,YouTube,Static Image,2025-02-10 12:00:00,32471,10947,2631,203,99,359
POST_0164,YouTube,Static Image,2025-02-10 18:00:00,18308,34361,791,244,59,237
POST_0165,LinkedIn,Text,2025-02-11 00:00:00,28532,35684,1614,36,166,235
POST_0166,Instagram,Carousel,2025-02-11 06:00:00,35349,6579,1627,446,201,202
POST_0167,YouTube,Carousel,2025-02-11 12:00:00,46445,13098,1353,94,344,255
POST_0168,Twitter,Text,2025-02-11 18:00:00,6713,14953,904,439,145,597
POST_0169,Twitter,Static Image,2025-02-12 00:00:00,5804,44679,1409,448,163,234
POST_0170,LinkedIn,Static Image,2025-02-12 06:00:00,11136,11589,245,208,241,344
POST_0171,YouTube,Carousel,2025-02-12 12:00:00,1009,44965,844,354,68,533
POST_0172,Instagram,Static Image,2025-02-12 18:00:00,20255,13799,2285,392,174,465
POST_0173,Twitter,Video,2025-02-13 00:00:00,24793,1614,956,333,48,540
POST_0174,YouTube,Carousel,2025-02-13 06:00:00,30548,11341,2820,306,107,212
POST_0175,YouTube,Static Image,2025-02-13 12:00:00,38892,25738,2573,351,225,462
POST_0176,LinkedIn,Carousel,2025-02-13 18:00:00,2015,3243,2326,214,160,435
POST_0177,Twitter,Video,2025-02-14 00:00:00,28712,11257,1931,160,118,282
POST_0178,Twitter,Carousel,2025-02-14 06:00:00,35961,11180,1816,443,148,561
POST_0179,Instagram,Carousel,2025-02-14 12:00:00,9415,8583,73,446,149,462
POST_0180,Twitter,Carousel,2025-02-14 18:00:00,47318,18168,746,25,292,406
POST_0181,Instagram,Carousel,2025-02-15 00:00:00,48280,16128,2756,405,142,87
POST_0182,Twitter,Video,2025-02-15 06:00:00,24833,27015,1564,294,159,43
POST_0183,LinkedIn,Text,2025-02-15 12:00:00,5158,34395,1063,5,10,460
POST_0184,Twitter,Carousel,2025-02-15 18:00:00,21309,28106,1933,221,137,277
POST_0185,Instagram,Carousel,2025-02-16 00:00:00,7970,20715,1796,365,77,420
POST_0186,Instagram,Static Image,2025-02-16 06:00:00,7938,40715,1616,383,76,352
POST_0187,LinkedIn,Carousel,2025-02-16 12:00:00,22168,38019,1934,21,253,514
POST_0188,Twitter,Static Image,2025-02-16 18:00:00,47540,16143,2486,445,257,18
POST_0189,Twitter,Text,2025-02-17 00:00:00,21384,39527,2757,153,319,22
POST_0190,LinkedIn,Video,2025-02-17 06:00:00,19017,926,869,51,290,412
POST_0191,Twitter,Video,2025-02-17 12:00:00,11344,28432,2129,178,262,29
POST_0192,Twitter,Text,2025-02-17 18:00:00,41034,42363,2283,436,84,107
POST_0193,Instagram,Video,2025-02-18 00:00:00,9702,21330,22,97,145,366
POST_0194,Twitter,Text,2025-02-18 06:00:00,1384,40764,179,106,322,280
POST_0195,Twitter,Text,2025-02-18 12:00:00,1404,4168,800,421,41,127
POST_0196,LinkedIn,Text,2025-02-18 18:00:00,41943,4597,912,251,373,228
POST_0197,LinkedIn,Video,2025-02-19 00:00:00,48926,14518,2050,118,124,110
POST_0198,YouTube,Static Image,2025-02-19 06:00:00,30189,35360,2396,355,166,135
POST_0199,Instagram,Text,2025-02-19 12:00:00,13763,11853,599,229,240,361
POST_0200,Twitter,Carousel,2025-02-19 18:00:00,19384,22916,1953,67,279,185
POST_0201,Twitter,Video,2025-02-20 00:00:00,33606,37044,1400,336,187,583
POST_0202,YouTube,Text,2025-02-20 06:00:00,10860,36985,1310,419,301,128
POST_0203,Twitter,Text,2025-02-20 12:00:00,39757,2445,1660,421,18,260
POST_0204,Instagram,Carousel,2025-02-20 18:00:00,16106,20056,971,263,67,514
POST_0205,YouTube,Static Image,2025-02-21 00:00:00,24574,36640,2702,296,217,448
POST_0206,Instagram,Static Image,2025-02-21 06:00:00,24524,35422,1007,427,101,103
POST_0207,YouTube,Static Image,2025-02-21 12:00:00,4636,38230,1238,244,41,482
POST_0208,YouTube,Text,2025-02-21 18:00:00,11916,40082,940,372,287,223
POST_0209,LinkedIn,Text,2025-02-22 00:00:00,5809,3508,2805,187,166,490
POST_0210,Instagram,Text,2025-02-22 06:00:00,33201,12494,1375,247,108,472
POST_0211,Twitter,Video,2025-02-22 12:00:00,14456,10324,189,126,35,9
POST_0212,Twitter,Carousel,2025-02-22 18:00:00,49212,32680,540,269,231,404
POST_0213,Instagram,Text,2025-02-23 00:00:00,39765,40024,1506,132,228,301
POST_0214,Twitter,Carousel,2025-02-23 06:00:00,35816,37780,59,238,352,230
POST_0215,Twitter,Carousel,2025-02-23 12:00:00,46106,33209,1580,19,163,65
POST_0216,Instagram,Static Image,2025-02-23 18:00:00,18100,14024,1438,41,386,111
POST_0217,YouTube,Video,2025-02-24 00:00:00,22949,41538,974,22,72,12
POST_0218,Instagram,Text,2025-02-24 06:00:00,5544,25950,1003,400,135,392
POST_0219,YouTube,Static Image,2025-02-24 12:00:00,38744,35193,994,226,352,499
POST_0220,Twitter,Static Image,2025-02-24 18:00:00,46543,43882,57,356,378,597
POST_0221,Twitter,Text,2025-02-25 00:00:00,43783,8773,2395,283,69,233
POST_0222,Twitter,Carousel,2025-02-25 06:00:00,27657,9377,1294,9,195,313
POST_0223,LinkedIn,Static Image,2025-02-25 12:00:00,37187,8870,1219,101,268,565
POST_0224,YouTube,Carousel,2025-02-25 18:00:00,48198,9466,1645,241,48,11
POST_0225,LinkedIn,Video,2025-02-26 00:00:00,8239,37168,933,479,315,208
POST_0226,LinkedIn,Carousel,2025-02-26 06:00:00,15489,7583,473,88,129,13
POST_0227,Instagram,Video,2025-02-26 12:00:00,44125,42714,56,299,4,417
POST_0228,LinkedIn,Carousel,2025-02-26 18:00:00,29538,5771,1731,429,26,436
POST_0229,Instagram,Static Image,2025-02-27 00:00:00,33049,14290,815,15,159,376
POST_0230,Instagram,Static Image,2025-02-27 06:00:00,38131,2790,992,335,148,19
POST_0231,LinkedIn,Video,2025-02-27 12:00:00,43944,6099,612,3,263,586
POST_0232,YouTube,Text,2025-02-27 18:00:00,9427,20756,1157,376,229,69
POST_0233,YouTube,Video,2025-02-28 00:00:00,42348,23159,1344,294,199,210
POST_0234,YouTube,Video,2025-02-28 06:00:00,25285,37948,2291,326,49,100
POST_0235,YouTube,Carousel,2025-02-28 12:00:00,38626,29534,337,423,66,131
POST_0236,YouTube,Carousel,2025-02-28 18:00:00,43808,5557,2416,494,299,380
POST_0237,LinkedIn,Video,2025-03-01 00:00:00,23928,19897,2182,42,380,131
POST_0238,LinkedIn,Static Image,2025-03-01 06:00:00,20198,11195,2765,319,57,19
POST_0239,Twitter,Carousel,2025-03-01 12:00:00,20758,17041,1366,317,258,535
POST_0240,YouTube,Text,2025-03-01 18:00:00,16254,39156,1611,382,341,226
POST_0241,LinkedIn,Carousel,2025-03-02 00:00:00,45238,28496,1909,112,325,153
POST_0242,Twitter,Carousel,2025-03-02 06:00:00,2252,5744,2107,15,129,468
POST_0243,YouTube,Text,2025-03-02 12:00:00,40764,20616,2016,232,214,404
POST_0244,Instagram,Video,2025-03-02 18:00:00,13173,37811,1792,474,171,201
POST_0245,Twitter,Text,2025-03-03 00:00:00,38441,25717,1332,85,257,37
POST_0246,LinkedIn,Video,2025-03-03 06:00:00,27698,31995,1305,131,101,187
POST_0247,Instagram,Video,2025-03-03 12:00:00,16781,22366,235,232,208,56
POST_0248,Instagram,Video,2025-03-03 18:00:00,14051,10716,2403,327,290,19
POST_0249,Instagram,Text,2025-03-04 00:00:00,40649,21606,2159,146,353,272
POST_0250,Twitter,Video,2025-03-04 06:00:00,7949,10784,2420,380,285,118
POST_0251,LinkedIn,Static Image,2025-03-04 12:00:00,43289,2559,2638,346,115,582
POST_0252,Instagram,Text,2025-03-04 18:00:00,9017,42749,2883,29,263,515
POST_0253,YouTube,Static Image,2025-03-05 00:00:00,7941,27638,1724,67,149,220
POST_0254,Instagram,Video,2025-03-05 06:00:00,26934,3282,2848,164,299,525
POST_0255,Instagram,Carousel,2025-03-05 12:00:00,24386,25242,382,230,35,514
POST_0256,Twitter,Video,2025-03-05 18:00:00,11209,34519,2624,262,332,335
POST_0257,Twitter,Static Image,2025-03-06 00:00:00,18715,28765,1736,450,286,54
POST_0258,LinkedIn,Static Image,2025-03-06 06:00:00,29920,2879,1213,425,302,499
POST_0259,YouTube,Text,2025-03-06 12:00:00,32703,3517,375,461,310,535
POST_0260,Twitter,Carousel,2025-03-06 18:00:00,43318,28752,210,441,207,161
POST_0261,Instagram,Text,2025-03-07 00:00:00,5637,21708,2489,165,105,593
POST_0262,LinkedIn,Static Image,2025-03-07 06:00:00,5854,43260,719,302,157,158
POST_0263,Instagram,Video,2025-03-07 12:00:00,44088,25661,2074,408,120,187
POST_0264,Instagram,Carousel,2025-03-07 18:00:00,38660,8111,2200,304,54,59
POST_0265,Twitter,Video,2025-03-08 00:00:00,40811,28871,576,288,399,318
POST_0266,LinkedIn,Video,2025-03-08 06:00:00,20856,24370,845,396,11,210
POST_0267,YouTube,Carousel,2025-03-08 12:00:00,22833,19249,2828,11,144,405
POST_0268,YouTube,Text,2025-03-08 18:00:00,20963,34336,1074,196,399,108
POST_0269,Twitter,Video,2025-03-09 00:00:00,37932,39058,2602,119,395,75
POST_0270,Twitter,Static Image,2025-03-09 06:00:00,28169,29665,445,271,135,541
POST_0271,LinkedIn,Video,2025-03-09 12:00:00,8941,7445,2739,81,2,313
POST_0272,YouTube,Carousel,2025-03-09 18:00:00,15388,38800,2430,459,143,116
POST_0273,YouTube,Carousel,2025-03-10 00:00:00,6569,27537,1594,94,29,18
POST_0274,YouTube,Carousel,2025-03-10 06:00:00,5300,12285,2149,267,236,431
POST_0275,Instagram,Text,2025-03-10 12:00:00,40037,39365,2423,333,278,349
POST_0276,YouTube,Video,2025-03-10 18:00:00,37586,26322,608,351,347,182
POST_0277,Instagram,Text,2025-03-11 00:00:00,13015,13142,2032,362,114,112
POST_0278,LinkedIn,Text,2025-03-11 06:00:00,46002,41606,1567,258,103,182
POST_0279,Instagram,Carousel,2025-03-11 12:00:00,7254,13887,314,134,117,480
POST_0280,LinkedIn,Carousel,2025-03-11 18:00:00,18144,38441,2005,277,4,145
POST_0281,YouTube,Text,2025-03-12 00:00:00,25214,35049,1267,265,359,112
POST_0282,YouTube,Video,2025-03-12 06:00:00,41118,10893,1568,172,247,475
POST_0283,LinkedIn,Static Image,2025-03-12 12:00:00,16183,17238,1710,461,363,302
POST_0284,Twitter,Text,2025-03-12 18:00:00,7238,41211,1156,2,320,117
POST_0285,LinkedIn,Video,2025-03-13 00:00:00,7090,27199,1276,314,120,160
POST_0286,Twitter,Carousel,2025-03-13 06:00:00,12637,20646,2084,65,285,400
POST_0287,Instagram,Carousel,2025-03-13 12:00:00,23415,16508,379,375,148,197
POST_0288,Instagram,Video,2025-03-13 18:00:00,25071,44839,2933,469,83,259
POST_0289,Instagram,Static Image,2025-03-14 00:00:00,46415,11798,719,285,230,46
POST_0290,YouTube,Carousel,2025-03-14 06:00:00,43679,31478,467,122,287,398
POST_0291,Instagram,Carousel,2025-03-14 12:00:00,42240,11482,2923,108,160,558
POST_0292,Twitter,Carousel,2025-03-14 18:00:00,19271,9319,2432,422,271,77
POST_0293,Instagram,Video,2025-03-15 00:00:00,37034,32280,694,176,37,123
POST_0294,LinkedIn,Text,2025-03-15 06:00:00,34434,20494,1027,486,225,74
POST_0295,LinkedIn,Carousel,2025-03-15 12:00:00,5188,4100,1369,205,141,136
POST_0296,YouTube,Text,2025-03-15 18:00:00,11161,7522,2534,166,291,399
POST_0297,LinkedIn,Static Image,2025-03-16 00:00:00,29732,40786,2481,306,150,504
POST_0298,Twitter,Carousel,2025-03-16 06:00:00,12314,24960,605,498,113,499
POST_0299,Instagram,Carousel,2025-03-16 12:00:00,24954,20859,1276,121,236,572
POST_0300,YouTube,Static Image,2025-03-16 18:00:00,22508,36622,1267,45,65,137
POST_0301,Instagram,Carousel,2025-03-17 00:00:00,22969,14375,1013,313,360,49
POST_0302,Instagram,Text,2025-03-17 06:00:00,46659,8770,1455,157,340,253
POST_0303,Twitter,Video,2025-03-17 12:00:00,38545,35711,591,368,257,562
POST_0304,LinkedIn,Text,2025-03-17 18:00:00,37668,22391,2402,208,248,425
POST_0305,LinkedIn,Video,2025-03-18 00:00:00,24061,32621,1265,391,330,546
POST_0306,Instagram,Video,2025-03-18 06:00:00,14716,10303,2104,109,322,301
POST_0307,YouTube,Text,2025-03-18 12:00:00,40749,19722,1008,252,179,580
POST_0308,LinkedIn,Text,2025-03-18 18:00:00,40144,12975,297,446,189,348
POST_0309,YouTube,Text,2025-03-19 00:00:00,17907,41924,1239,405,153,48
POST_0310,LinkedIn,Text,2025-03-19 06:00:00,19777,22189,2983,371,195,73
POST_0311,YouTube,Static Image,2025-03-19 12:00:00,28693,1622,1907,335,310,260
POST_0312,Twitter,Carousel,2025-03-19 18:00:00,43928,18127,503,131,261,355
POST_0313,YouTube,Video,2025-03-20 00:00:00,27329,6950,1285,458,142,581
POST_0314,Twitter,Text,2025-03-20 06:00:00,47892,5225,750,294,341,259
POST_0315,Twitter,Text,2025-03-20 12:00:00,17282,16832,2259,21,315,294
POST_0316,YouTube,Text,2025-03-20 18:00:00,24624,2998,1060,283,100,312
POST_0317,Twitter,Static Image,2025-03-21 00:00:00,24321,20879,2591,286,243,181
POST_0318,Instagram,Text,2025-03-21 06:00:00,11488,37020,937,2,11,363
POST_0319,Twitter,Text,2025-03-21 12:00:00,23574,42674,2468,120,238,187
POST_0320,LinkedIn,Text,2025-03-21 18:00:00,6240,14659,905,36,48,568
POST_0321,YouTube,Carousel,2025-03-22 00:00:00,44221,32219,2772,199,41,542
POST_0322,Instagram,Static Image,2025-03-22 06:00:00,11478,9505,41,486,165,595
POST_0323,YouTube,Text,2025-03-22 12:00:00,46162,43680,493,246,81,547
POST_0324,LinkedIn,Video,2025-03-22 18:00:00,20262,24036,2277,60,290,407
